dguid,alt_geo_code,geo_level,geo_name_full,geo_name,geo_kind,characteristic,population
2021S051259010202,59010202,Dissemination area,59010202,59010202,,"Population, 2021",1032
2021S051259010207,59010207,Dissemination area,59010207,59010207,,"Population, 2021",939
2021S051259010245,59010245,Dissemination area,59010245,59010245,,"Population, 2021",1482
2021A00055901028,5901028,Census subdivision,"Kimberley, City (CY)",Kimberley,City (CY),"Population, 2021",8115
2021S051259010150,59010150,Dissemination area,59010150,59010150,,"Population, 2021",589
2021S051259010151,59010151,Dissemination area,59010151,59010151,,"Population, 2021",637
2021S051259010152,59010152,Dissemination area,59010152,59010152,,"Population, 2021",620
2021S051259010153,59010153,Dissemination area,59010153,59010153,,"Population, 2021",733
2021S051259010154,59010154,Dissemination area,59010154,59010154,,"Population, 2021",524
2021S051259010155,59010155,Dissemination area,59010155,59010155,,"Population, 2021",518
2021S051259010156,59010156,Dissemination area,59010156,59010156,,"Population, 2021",1551
2021S051259010157,59010157,Dissemination area,59010157,59010157,,"Population, 2021",453
2021S051259010158,59010158,Dissemination area,59010158,59010158,,"Population, 2021",576
2021S051259010159,59010159,Dissemination area,59010159,59010159,,"Population, 2021",538
2021S051259010160,59010160,Dissemination area,59010160,59010160,,"Population, 2021",458
2021S051259010161,59010161,Dissemination area,59010161,59010161,,"Population, 2021",491
2021S051259010162,59010162,Dissemination area,59010162,59010162,,"Population, 2021",427
2021A00055901035,5901035,Census subdivision,"East Kootenay C, Regional district electoral area (RDA)",East Kootenay C,Regional district electoral area (RDA),"Population, 2021",6536
2021S051259010143,59010143,Dissemination area,59010143,59010143,,"Population, 2021",679
2021S051259010145,59010145,Dissemination area,59010145,59010145,,"Population, 2021",0
2021S051259010164,59010164,Dissemination area,59010164,59010164,,"Population, 2021",1129
2021S051259010165,59010165,Dissemination area,59010165,59010165,,"Population, 2021",877
2021S051259010204,59010204,Dissemination area,59010204,59010204,,"Population, 2021",560
2021S051259010205,59010205,Dissemination area,59010205,59010205,,"Population, 2021",550
2021S051259010206,59010206,Dissemination area,59010206,59010206,,"Population, 2021",488
2021S051259010208,59010208,Dissemination area,59010208,59010208,,"Population, 2021",704
2021S051259010209,59010209,Dissemination area,59010209,59010209,,"Population, 2021",460
2021S051259010244,59010244,Dissemination area,59010244,59010244,,"Population, 2021",570
2021S051259010260,59010260,Dissemination area,59010260,59010260,,"Population, 2021",519
2021A00055901037,5901037,Census subdivision,"East Kootenay E, Regional district electoral area (RDA)",East Kootenay E,Regional district electoral area (RDA),"Population, 2021",1686
2021S051259010141,59010141,Dissemination area,59010141,59010141,,"Population, 2021",309
2021S051259010142,59010142,Dissemination area,59010142,59010142,,"Population, 2021",486
2021S051259010149,59010149,Dissemination area,59010149,59010149,,"Population, 2021",514
2021S051259010163,59010163,Dissemination area,59010163,59010163,,"Population, 2021",377
2021A00055901039,5901039,Census subdivision,"Invermere, District municipality (DM)",Invermere,District municipality (DM),"Population, 2021",3917
2021S051259010128,59010128,Dissemination area,59010128,59010128,,"Population, 2021",681
2021S051259010129,59010129,Dissemination area,59010129,59010129,,"Population, 2021",456
2021S051259010130,59010130,Dissemination area,59010130,59010130,,"Population, 2021",708
2021S051259010131,59010131,Dissemination area,59010131,59010131,,"Population, 2021",545
2021S051259010132,59010132,Dissemination area,59010132,59010132,,"Population, 2021",627
2021S051259010133,59010133,Dissemination area,59010133,59010133,,"Population, 2021",900
2021A00055901040,5901040,Census subdivision,"Radium Hot Springs, Village (VL)",Radium Hot Springs,Village (VL),"Population, 2021",1339
2021S051259010126,59010126,Dissemination area,59010126,59010126,,"Population, 2021",1339
2021A00055901043,5901043,Census subdivision,"Canal Flats, Village (VL)",Canal Flats,Village (VL),"Population, 2021",802
2021S051259010139,59010139,Dissemination area,59010139,59010139,,"Population, 2021",802
2021A00055901046,5901046,Census subdivision,"East Kootenay F, Regional district electoral area (RDA)",East Kootenay F,Regional district electoral area (RDA),"Population, 2021",3521
2021S051259010135,59010135,Dissemination area,59010135,59010135,,"Population, 2021",514
2021S051259010137,59010137,Dissemination area,59010137,59010137,,"Population, 2021",696
2021S051259010140,59010140,Dissemination area,59010140,59010140,,"Population, 2021",587
2021S051259010269,59010269,Dissemination area,59010269,59010269,,"Population, 2021",878
2021S051259010270,59010270,Dissemination area,59010270,59010270,,"Population, 2021",846
2021A00055901048,5901048,Census subdivision,"East Kootenay G, Regional district electoral area (RDA)",East Kootenay G,Regional district electoral area (RDA),"Population, 2021",1654
2021S051259010124,59010124,Dissemination area,59010124,59010124,,"Population, 2021",579
2021S051259010125,59010125,Dissemination area,59010125,59010125,,"Population, 2021",473
2021S051259010265,59010265,Dissemination area,59010265,59010265,,"Population, 2021",602
2021A00055901801,5901801,Census subdivision,"Tobacco Plains 2, Indian reserve (IRI)",Tobacco Plains 2,Indian reserve (IRI),"Population, 2021",96
2021S051259010214,59010214,Dissemination area,59010214,59010214,,"Population, 2021",96
2021A00055901802,5901802,Census subdivision,"Isidore's Ranch 4, Indian reserve (IRI)",Isidore's Ranch 4,Indian reserve (IRI),"Population, 2021",0
2021S051259010144,59010144,Dissemination area,59010144,59010144,,"Population, 2021",0
2021A00055901803,5901803,Census subdivision,"Kootenay 1, Indian reserve (IRI)",Kootenay 1,Indian reserve (IRI),"Population, 2021",145
2021S051259010146,59010146,Dissemination area,59010146,59010146,,"Population, 2021",145
2021A00055901804,5901804,Census subdivision,"Columbia Lake 3, Indian reserve (IRI)",Columbia Lake 3,Indian reserve (IRI),"Population, 2021",149
2021S051259010136,59010136,Dissemination area,59010136,59010136,,"Population, 2021",149
2021A00055901805,5901805,Census subdivision,"Cassimayooks (Mayook) 5, Indian reserve (IRI)",Cassimayooks (Mayook) 5,Indian reserve (IRI),"Population, 2021",5
2021S051259010203,59010203,Dissemination area,59010203,59010203,,"Population, 2021",5
2021A00055901806,5901806,Census subdivision,"Shuswap, Indian reserve (IRI)",Shuswap,Indian reserve (IRI),"Population, 2021",319
2021S051259010268,59010268,Dissemination area,59010268,59010268,,"Population, 2021",319
2021A00055901808,5901808,Census subdivision,"St. Mary's, Indian reserve (IRI)",St. Mary's,Indian reserve (IRI),"Population, 2021",10
2021S051259010259,59010259,Dissemination area,59010259,59010259,,"Population, 2021",10
2021A00035903,5903,Census division,"Central Kootenay, Regional district (RD)",Central Kootenay,Regional district (RD),"Population, 2021",62509
2021A00055903004,5903004,Census subdivision,"Creston, Town (T)",Creston,Town (T),"Population, 2021",5583
2021S051259030209,59030209,Dissemination area,59030209,59030209,,"Population, 2021",559
2021S051259030210,59030210,Dissemination area,59030210,59030210,,"Population, 2021",585
2021S051259030211,59030211,Dissemination area,59030211,59030211,,"Population, 2021",483
2021S051259030212,59030212,Dissemination area,59030212,59030212,,"Population, 2021",540
2021S051259030213,59030213,Dissemination area,59030213,59030213,,"Population, 2021",948
2021S051259030214,59030214,Dissemination area,59030214,59030214,,"Population, 2021",402
2021S051259030215,59030215,Dissemination area,59030215,59030215,,"Population, 2021",698
2021S051259030216,59030216,Dissemination area,59030216,59030216,,"Population, 2021",535
2021S051259030217,59030217,Dissemination area,59030217,59030217,,"Population, 2021",651
2021S051259030249,59030249,Dissemination area,59030249,59030249,,"Population, 2021",182
2021A00055903010,5903010,Census subdivision,"Central Kootenay A, Regional district electoral area (RDA)",Central Kootenay A,Regional district electoral area (RDA),"Population, 2021",2241
2021S051259030226,59030226,Dissemination area,59030226,59030226,,"Population, 2021",585
2021S051259030237,59030237,Dissemination area,59030237,59030237,,"Population, 2021",454
2021S051259030254,59030254,Dissemination area,59030254,59030254,,"Population, 2021",607
2021S051259030255,59030255,Dissemination area,59030255,59030255,,"Population, 2021",595
2021A00055903011,5903011,Census subdivision,"Salmo, Village (VL)",Salmo,Village (VL),"Population, 2021",1140
2021S051259030200,59030200,Dissemination area,59030200,59030200,,"Population, 2021",595
2021S051259030201,59030201,Dissemination area,59030201,59030201,,"Population, 2021",545
2021A00055903013,5903013,Census subdivision,"Central Kootenay B, Regional district electoral area (RDA)",Central Kootenay B,Regional district electoral area (RDA),"Population, 2021",4802
2021S051259030207,59030207,Dissemination area,59030207,59030207,,"Population, 2021",535
2021S051259030208,59030208,Dissemination area,59030208,59030208,,"Population, 2021",597
2021S051259030220,59030220,Dissemination area,59030220,59030220,,"Population, 2021",654
