"Geo Code","Geo Name","Line Number"
"2021A00055901003","Elkford",2
"2021A00055901006","Sparwood",2633
"2021A00055901012","Fernie",5264
"2021A00055901017","East Kootenay A",7895
"2021A00055901019","East Kootenay B",10526
"2021A00055901022","Cranbrook",13157
"2021A00055901028","Kimberley",15788
"2021A00055901035","East Kootenay C",18419
"2021A00055901037","East Kootenay E",21050
"2021A00055901039","Invermere",23681
"2021A00055901040","Radium Hot Springs",26312
"2021A00055901043","Canal Flats",28943
"2021A00055901046","East Kootenay F",31574
"2021A00055901048","East Kootenay G",34205
"2021A00055901801","Tobacco Plains 2",36836
"2021A00055901802","Isidore's Ranch 4",39467
"2021A00055901803","Kootenay 1",42098
"2021A00055901804","Columbia Lake 3",44729
"2021A00055901805","Cassimayooks (Mayook) 5",47360
"2021A00055901806","Shuswap",49991
"2021A00055901808","St. Mary's",52622
"2021A00055903004","Creston",55253
"2021A00055903010","Central Kootenay A",57884
"2021A00055903011","Salmo",60515
"2021A00055903013","Central Kootenay B",63146
"2021A00055903015","Nelson",65777
"2021A00055903017","Central Kootenay C",68408
"2021A00055903019","Slocan",71039
"2021A00055903023","Kaslo",73670
"2021A00055903027","Silverton",76301
"2021A00055903032","New Denver",78932
"2021A00055903039","Central Kootenay D",81563
"2021A00055903041","Central Kootenay E",84194
"2021A00055903043","Central Kootenay F",86825
"2021A00055903045","Castlegar",89456
"2021A00055903047","Central Kootenay G",92087
"2021A00055903050","Nakusp",94718
"2021A00055903052","Central Kootenay H",97349
"2021A00055903056","Central Kootenay I",99980
"2021A00055903058","Central Kootenay J",102611
"2021A00055903060","Central Kootenay K",105242
"2021A00055903807","Creston 1",107873
"2021A00055905005","Fruitvale",110504
"2021A00055905009","Montrose",113135
"2021A00055905014","Trail",115766
"2021A00055905018","Warfield",118397
"2021A00055905023","Rossland",121028
"2021A00055905026","Kootenay Boundary A",123659
"2021A00055905030","Kootenay Boundary B / Lower Columbia-Old-Glory",126290
"2021A00055905032","Grand Forks",128921
"2021A00055905037","Midway",131552
"2021A00055905042","Greenwood",134183
"2021A00055905050","Kootenay Boundary C / Christina Lake",136814
"2021A00055905052","Kootenay Boundary D / Rural Grand Forks",139445
"2021A00055905054","Kootenay Boundary E / West Boundary",142076
"2021A00055907005","Osoyoos",144707
"2021A00055907009","Keremeos",147338
"2021A00055907014","Oliver",149969
"2021A00055907022","Okanagan-Similkameen A",152600
"2021A00055907024","Princeton",155231
"2021A00055907026","Okanagan-Similkameen B",157862
"2021A00055907028","Okanagan-Similkameen C",160493
"2021A00055907035","Summerland",163124
"2021A00055907041","Penticton",165755
"2021A00055907047","Okanagan-Similkameen D",168386
"2021A00055907048","Okanagan-Similkameen I",171017
"2021A00055907049","Okanagan-Similkameen E",173648
"2021A00055907051","Okanagan-Similkameen F",176279
"2021A00055907053","Okanagan-Similkameen G",178910
"2021A00055907055","Okanagan-Similkameen H",181541
"2021A00055907801","Lower Similkameen 2",184172
"2021A00055907802","Osoyoos 1",186803
"2021A00055907803","Penticton 1",189434
"2021A00055907805","Chopaka 7 & 8",192065
"2021A00055907806","Blind Creek 6",194696
"2021A00055907807","Chuchuwayha 2",197327
"2021A00055907808","Alexis 9",199958
"2021A00055907809","Ashnola 10",202589
