"Geo Code","Geo Name","Line Number"
"2021S051259030160","59030160",505154
"2021S051259030161","59030161",507785
"2021S051259030162","59030162",510416
"2021S051259030164","59030164",513047
"2021S051259030168","59030168",515678
"2021A00055903017","Central Kootenay C",518309
"2021S051259030204","59030204",520940
"2021S051259030205","59030205",523571
"2021S051259030247","59030247",526202
"2021A00055903019","Slocan",528833
"2021S051259030138","59030138",531464
"2021A00055903023","Kaslo",534095
"2021S051259030239","59030239",536726
"2021S051259030246","59030246",539357
"2021A00055903027","Silverton",541988
"2021S051259030136","59030136",544619
"2021A00055903032","New Denver",547250
"2021S051259030135","59030135",549881
"2021A00055903039","Central Kootenay D",552512
"2021S051259030238","59030238",555143
"2021S051259030241","59030241",557774
"2021S051259030244","59030244",560405
"2021A00055903041","Central Kootenay E",563036
"2021S051259030159","59030159",565667
"2021S051259030163","59030163",568298
"2021S051259030167","59030167",570929
"2021S051259030229","59030229",573560
"2021S051259030230","59030230",576191
"2021S051259030231","59030231",578822
"2021S051259030232","59030232",581453
"2021A00055903043","Central Kootenay F",584084
"2021S051259030142","59030142",586715
"2021S051259030143","59030143",589346
"2021S051259030165","59030165",591977
"2021S051259030166","59030166",594608
"2021S051259030169","59030169",597239
"2021S051259030233","59030233",599870
"2021S051259030234","59030234",602501
"2021S051259030235","59030235",605132
"2021A00055903045","Castlegar",607763
"2021S051259030178","59030178",610394
"2021S051259030180","59030180",613025
"2021S051259030181","59030181",615656
"2021S051259030182","59030182",618287
"2021S051259030183","59030183",620918
"2021S051259030184","59030184",623549
"2021S051259030185","59030185",626180
"2021S051259030189","59030189",628811
"2021S051259030190","59030190",631442
"2021S051259030191","59030191",634073
"2021S051259030192","59030192",636704
"2021S051259030193","59030193",639335
"2021S051259030196","59030196",641966
"2021S051259030197","59030197",644597
"2021S051259030198","59030198",647228
"2021A00055903047","Central Kootenay G",649859
"2021S051259030199","59030199",652490
"2021S051259030202","59030202",655121
"2021S051259030203","59030203",657752
"2021A00055903050","Nakusp",660383
"2021S051259030129","59030129",663014
"2021S051259030130","59030130",665645
"2021S051259030131","59030131",668276
"2021S051259030133","59030133",670907
"2021A00055903052","Central Kootenay H",673538
"2021S051259030134","59030134",676169
"2021S051259030137","59030137",678800
"2021S051259030139","59030139",681431
"2021S051259030140","59030140",684062
"2021S051259030141","59030141",686693
"2021S051259030170","59030170",689324
"2021S051259030173","59030173",691955
"2021S051259030174","59030174",694586
"2021S051259030175","59030175",697217
"2021A00055903056","Central Kootenay I",699848
"2021S051259030171","59030171",702479
"2021S051259030172","59030172",705110
"2021S051259030176","59030176",707741
"2021S051259030177","59030177",710372
"2021A00055903058","Central Kootenay J",713003
"2021S051259030179","59030179",715634
"2021S051259030186","59030186",718265
"2021S051259030187","59030187",720896
"2021S051259030188","59030188",723527
"2021S051259030194","59030194",726158
"2021S051259030195","59030195",728789
"2021A00055903060","Central Kootenay K",731420
"2021S051259030128","59030128",734051
"2021S051259030132","59030132",736682
"2021S051259030242","59030242",739313
"2021S051259030243","59030243",741944
"2021A00055903807","Creston 1",744575
"2021S051259030206","59030206",747206
"2021A00035905","Kootenay Boundary",749837
"2021A00055905005","Fruitvale",752468
