geoname_id,bc_geographic_name,geoname_type,lon,lat,bcgn_name,bcgn_feature_type,da_uid,da_population,da_match,da_distance_m,csd_uid,csd_name,csd_type,csd_population,csd_match,csd_distance_m,name_agrees_with_csd,muni_name,muni_type,muni_population,muni_population_year,muni_population_latest,muni_latest_year,place_population,place_population_basis,place_population_source,place_population_confidence,geo_level,geo_uid,geo_shared_with,parent_geoname_id,parent_name,is_nested,is_primary,note
64869,Sowchea 3A,Indian Reserve,-124.4112169037,54.4234375142,Sowchea 3A,Indian Reserve-Réserve indienne,59510271,423,contains,0.0,5951015,Bulkley-Nechako C,Regional district electoral area,1266,contains,0.0,no,,,,,,,423,da,"2021 Census, dissemination area",high,da,59510271,0,,,FALSE,TRUE,"no census subdivision carries this name, so this is the population of the surrounding dissemination area, NOT of the named place"
66001,Squin-Lix-Stat 3,Indian Reserve,-128.2719444439,55.0486111081,Squin-Lix-Stat 3,Indian Reserve-Réserve indienne,59490155,425,contains,0.0,5949028,Kitimat-Stikine B,Regional district electoral area,1455,contains,0.0,no,,,,,,,425,da,"2021 Census, dissemination area",high,da,59490155,12,,,FALSE,FALSE,"no census subdivision carries this name, so this is the population of the surrounding dissemination area, NOT of the named place"
7759,Stellako,Community,-124.9114935,54.063156288,Stellako,Community,59510225,189,contains,0.0,5951807,Stellaquo (Stella) 1,Indian reserve,189,contains,0.0,no,,,,,,,189,da,"2021 Census, dissemination area",high,da,59510225,0,64916,Stellaquo (Stella) 1,TRUE,FALSE,"no census subdivision carries this name, so this is the population of the surrounding dissemination area, NOT of the named place"
64916,Stellaquo (Stella) 1,Indian Reserve,-124.9181650708,54.0498153571,Stellaquo (Stella) 1,Indian Reserve-Réserve indienne,59510225,189,contains,0.0,5951807,Stellaquo (Stella) 1,Indian reserve,189,contains,0.0,yes,,,,,,,189,csd,"2021 Census, census subdivision",high,csd,5951807,0,,,FALSE,TRUE,"the geoname names its containing census subdivision, so this is the population of Stellaquo (Stella) 1 itself"
37819,Stoner,Community,-122.6629327996,53.6287180679,Stoner,Community,59530252,475,contains,0.0,5953044,Fraser-Fort George D,Regional district electoral area,4375,contains,0.0,no,,,,,,,475,da,"2021 Census, dissemination area",high,da,59530252,0,,,FALSE,TRUE,"no census subdivision carries this name, so this is the population of the surrounding dissemination area, NOT of the named place"
64917,Stony Creek 1,Indian Reserve,-124.1194444447,53.94583333,Stony Creek 1,Indian Reserve-Réserve indienne,59510239,323,contains,0.0,5951809,Stony Creek 1,Indian reserve,323,contains,0.0,yes,,,,,,,323,csd,"2021 Census, census subdivision",high,csd,5951809,0,,,FALSE,TRUE,"the geoname names its containing census subdivision, so this is the population of Stony Creek 1 itself"
8710,Streatham,Locality,-126.2515350063,53.833129253,Streatham,Locality,59510222,422,contains,0.0,5951031,Bulkley-Nechako E,Regional district electoral area,1512,contains,0.0,no,,,,,,,422,da,"2021 Census, dissemination area",high,da,59510222,10,,,FALSE,FALSE,"no census subdivision carries this name, so this is the population of the surrounding dissemination area, NOT of the named place"
64868,Stuart Lake (Dunah Island) 10,Indian Reserve,-124.5827777772,54.5180555524,Stuart Lake (Dunah Island) 10,Indian Reserve-Réserve indienne,59510284,373,contains,0.0,5951015,Bulkley-Nechako C,Regional district electoral area,1266,contains,0.0,no,,,,,,,373,da,"2021 Census, dissemination area",high,da,59510284,69,,,FALSE,FALSE,"no census subdivision carries this name, so this is the population of the surrounding dissemination area, NOT of the named place"
65806,Stuart Lake (Hungry Island) 9,Indian Reserve,-124.5649999994,54.5030555528,Stuart Lake (Hungry Island) 9,Indian Reserve-Réserve indienne,59510284,373,contains,0.0,5951015,Bulkley-Nechako C,Regional district electoral area,1266,contains,0.0,no,,,,,,,373,da,"2021 Census, dissemination area",high,da,59510284,69,,,FALSE,FALSE,"no census subdivision carries this name, so this is the population of the surrounding dissemination area, NOT of the named place"
13966,Sunnyside,Community,-124.7090395997,54.6552736783,Sunnyside,Community,59510284,373,contains,0.0,5951015,Bulkley-Nechako C,Regional district electoral area,1266,contains,0.0,no,,,,,,,373,da,"2021 Census, dissemination area",high,da,59510284,69,,,FALSE,FALSE,"no census subdivision carries this name, so this is the population of the surrounding dissemination area, NOT of the named place"
